pre_16_r,pre_16_tot,rrc_16_r,rrc_16_tot,SD,HD
171,261,178,239,19.0,118.0
438,640,411,593,19.0,118.0
141,282,122,249,26.0,119.0
566,1052,578,950,26.0,123.0
377,1136,362,1047,26.0,120.0
302,572,325,561,26.0,120.0
251,670,233,603,26.0,120.0
429,954,390,870,26.0,120.0
0,0,0,0,26.0,121.0
254,579,232,519,26.0,121.0
63,180,60,163,26.0,120.0
793,1811,813,1670,26.0,125.0
849,1541,856,1427,19.0,122.0
282,727,261,662,26.0,125.0
112,344,107,317,26.0,121.0
400,1133,361,992,26.0,120.0
696,1187,655,1083,26.0,120.0
757,1146,748,1049,19.0,122.0
413,1256,379,1138,26.0,120.0
561,1296,565,1198,26.0,125.0
455,1124,449,1025,25.0,121.0
1932,3095,1977,2897,25.0,122.0
446,1200,489,1072,19.0,116.0
670,1253,644,1141,26.0,120.0
333,768,334,710,26.0,125.0
954,1756,962,1545,26.0,122.0
749,1518,759,1433,19.0,119.0
575,1138,534,1048,26.0,119.0
206,262,200,273,25.0,19.0
306,447,310,426,5.0,14.0
1009,1785,1042,1663,5.0,14.0
275,1038,274,930,5.0,14.0
14,21,16,21,5.0,14.0
44,121,44,112,5.0,14.0
340,705,319,626,29.0,74.0
1422,1738,1423,1722,24.0,19.0
551,711,541,688,24.0,19.0
646,1316,661,1232,16.0,102.0
750,1529,749,1447,23.0,111.0
180,1697,175,1577,23.0,100.0
690,1500,708,1434,23.0,111.0
348,813,334,731,16.0,107.0
0,1,0,1,16.0,103.0
176,1179,149,1043,16.0,103.0
846,1958,1099,1828,16.0,108.0
870,3121,1001,2825,23.0,114.0
329,1203,400,1078,23.0,114.0
1,1,1,1,23.0,100.0
257,898,313,816,23.0,100.0
456,884,492,828,16.0,102.0
43,890,47,849,23.0,111.0
36,1010,41,955,23.0,100.0
95,489,108,431,23.0,103.0
57,449,57,396,23.0,103.0
252,1339,251,1302,23.0,111.0
52,164,35,134,21.0,31.0
378,657,361,609,31.0,81.0
200,691,194,646,31.0,81.0
806,1073,772,1019,2.0,10.0
549,741,543,716,2.0,10.0
224,659,208,626,2.0,10.0
